lon,lat,depth,mw,date
126.457,7.479,15,4.6,10/10/2003
126.635,9.769,25,4.4,15/10/2003
126.027,0.461,25,6,18/10/2003
122.029,15.198,15,4.7,27/10/2003
122.123,15.189,10,4.5,27/10/2003
125.095,10.484,41,5,27/10/2003
119.428,16.054,15,4.4,29/10/2003
124.05,11.954,15,4.4,5/11/2003
126.979,1.97,49,5.2,6/11/2003
120.434,23.103,22,4.6,6/11/2003
126.937,2.01,15,4.8,7/11/2003
127.326,1.528,130,5.8,9/11/2003
126.417,1.506,31,6.1,12/11/2003
125.418,12.126,35,6.5,18/11/2003
125.243,4.049,35,5,19/11/2003
126.304,1.167,45,4.8,21/11/2003
120.431,22.1,35,4.6,21/11/2003
126.961,4.848,55,4.6,23/11/2003
126.422,3.981,73,4.9,29/11/2003
125.855,11.362,15,4.5,6/12/2003
121.506,23.01,44,4.3,6/12/2003
125.693,11.344,61,5.2,6/12/2003
121.373,23.109,24,6.8,10/12/2003
121.417,22.851,20,4.8,10/12/2003
120.763,17.806,15,4.8,10/12/2003
121.457,22.761,28,5.1,11/12/2003
125.64,12.095,27,4.7,11/12/2003
121.347,22.968,9,4.6,11/12/2003
121.309,23.003,9,4.5,11/12/2003
123.072,14.352,16,4.7,15/12/2003
121.482,23.028,10,4.5,16/12/2003
121.45,22.538,27,4.9,17/12/2003
121.168,22.833,10,4.5,18/12/2003
124.246,15.213,15,4.8,19/12/2003
124.437,13.847,43,4.8,19/12/2003
119.712,14.908,47,4.6,25/12/2003
122.354,0.578,75,5.4,28/12/2003
121.702,23.34,35,4.8,1/1/2004
126.089,0.954,15,4.5,4/1/2004
122.376,20.206,15,4.3,4/1/2004
122.383,20.18,37,4.5,5/1/2004
127.069,6.207,58,4.4,5/1/2004
122.311,20.162,31,5.1,7/1/2004
122.911,1.267,34,3.9,7/1/2004
122.499,20.128,35,4.3,12/1/2004
121.8,23.975,15,4.3,13/1/2004
124.85,13.601,28,4.8,13/1/2004
126.529,3.567,15,4.7,17/1/2004
128.726,1.913,59,4.9,20/1/2004
126.498,7.859,79,5.2,22/1/2004
121.123,21.925,15,4.4,24/1/2004
126.064,9.906,53,4.1,28/1/2004
120.982,22.947,15,4.7,28/1/2004
121.029,22.949,5,4.5,28/1/2004
126.963,6.254,210,5.7,29/1/2004
122.09,23.444,42,5,4/2/2004
126.096,5.615,106,5,4/2/2004
121.412,19.683,40,4,8/2/2004
125.689,5.976,199,4.8,8/2/2004
119.875,0.702,20,4.6,9/2/2004
126.65,3.579,15,4.7,12/2/2004
128.403,1.311,49,4.9,12/2/2004
125.618,22.346,16,4.5,13/2/2004
121.048,23.809,32,4.6,15/2/2004
126.816,6.259,65,4.7,24/2/2004
126.282,3.858,25,5,25/2/2004
126.144,3.819,33,4.5,25/2/2004
123.266,8.128,15,4.6,26/2/2004
123.238,8.132,15,4.5,26/2/2004
123.347,8.215,15,5,26/2/2004
123.281,8.135,15,4.6,27/2/2004
122.201,19.446,15,4.3,27/2/2004
123.293,8.197,15,4.5,1/3/2004
126.559,6.054,73,4.9,5/3/2004
123.941,22.547,6,4.6,5/3/2004
127.739,4.744,46,4.8,5/3/2004
126.172,3.837,44,4.6,7/3/2004
126.438,3.789,53,5.2,12/3/2004
121.46,20.135,47,4.6,12/3/2004
126.612,2.06,35,4.8,15/3/2004
124.718,11.15,10,4.8,17/3/2004
124.221,13.055,15,4.4,18/3/2004
124.758,9.839,41,4.6,26/3/2004
124.353,11.241,15,5,27/3/2004
121.143,21.056,25,4.5,6/4/2004
125.042,0.74,47,4.6,9/4/2004
126.036,8.659,111,4.9,12/4/2004
121.617,23.895,15,4.5,24/4/2004
120.454,22.004,35,4.3,27/4/2004
125.262,10.09,17,4.5,27/4/2004
126.543,3.25,49,3.6,1/5/2004
122.637,16.445,15,4.3,1/5/2004
120.604,22.937,15,4.5,7/5/2004
121.599,22.076,10,5.4,8/5/2004
126.209,10.405,15,4.8,9/5/2004
121.986,11.973,25,4.7,10/5/2004
121.893,23.115,19,5.1,16/5/2004
126.236,7.573,17,5.7,16/5/2004
126.322,7.66,15,4.4,17/5/2004
128.342,3.069,40,4.4,17/5/2004
121.441,22.696,20,6.2,19/5/2004
124.014,9.937,31,4.6,19/5/2004
